bundesland,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Baden-Württemberg,,,,,,,,,,
Berlin,12.771951219512195,12.771951219512195,12.771951219512195,12.771951219512195,12.771951219512195,12.771951219512195,12.771951219512195,11.374246575342466,11.234699453551912,9.890684931506849
Brandenburg,9.760655737704917,9.500821917808219,11.02931506849315,10.641643835616438,10.405737704918034,10.373424657534247,11.40082191780822,11.47972602739726,11.403005464480874,10.055342465753425
Bremen,9.684426229508198,9.338082191780822,11.057534246575342,10.403013698630136,10.136338797814208,10.131232876712328,11.113698630136986,10.953698630136985,11.147540983606557,9.893424657534247
Hamburg,9.365573770491803,9.195890410958905,10.82931506849315,10.137808219178083,9.9224043715847,9.91041095890411,10.742191780821917,10.669589041095891,10.823224043715847,9.77917808219178
Hessen,8.693715846994536,8.171780821917809,9.955342465753423,9.567671232876712,9.059016393442622,9.192602739726027,10.194246575342467,9.845753424657534,10.119945355191257,8.658630136986302
Mecklenburg-Vorpommern,9.065027322404372,8.998356164383562,10.269315068493151,9.976712328767123,9.730601092896174,9.58,10.54986301369863,10.766575342465753,10.623224043715847,9.616986301369863
Niedersachsen,9.920879120879121,9.920879120879121,9.920879120879121,9.920879120879121,9.920879120879121,9.920879120879121,9.920879120879121,9.920879120879121,9.920879120879121,9.920879120879121
Nordrhein-Westfalen,-1.2,-1.2,14.25,12.785714285714286,16.95,3.8970588235294117,11.592795389048991,11.373698630136985,11.707103825136613,10.43972602739726
Rheinland-Pfalz,11.848170731707317,11.848170731707317,11.848170731707317,11.848170731707317,11.848170731707317,11.848170731707317,11.848170731707317,10.732328767123288,11.478415300546448,9.854520547945206
Saarland,9.879945054945056,9.879945054945056,9.879945054945056,9.879945054945056,9.879945054945056,9.879945054945056,9.879945054945056,9.879945054945056,9.879945054945056,9.879945054945056
Sachsen,9.343715846994536,8.751232876712328,10.64054794520548,10.46109589041096,9.846448087431694,9.932602739726027,10.838904109589041,10.905753424657535,10.886065573770493,9.306849315068494
Sachsen-Anhalt,9.798633879781422,9.4213698630137,10.985205479452054,10.781369863013698,10.671311475409835,10.644657534246576,11.41095890410959,11.323287671232876,11.55141242937853,9.964383561643835
Schleswig-Holstein,9.061813186813186,9.061813186813186,9.061813186813186,9.061813186813186,9.061813186813186,9.061813186813186,9.061813186813186,9.061813186813186,9.061813186813186,9.061813186813186
Thüringen,9.006284153005465,8.391780821917807,10.044109589041096,9.882739726027397,9.352459016393443,9.483287671232876,10.381643835616439,10.263835616438357,10.321311475409836,8.863561643835617
